LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2010-2014,Percent,0.42
State,Kentucky,2011-2015,Percent,0.416
State,Kentucky,2012-2016,Percent,0.419
State,Kentucky,2013-2017,Percent,0.413
State,Kentucky,2014-2018,Percent,0.418
State,Kentucky,2015-2019,Percent,0.412
State,Kentucky,2016-2020,Percent,0.407
State,Kentucky,2017-2021,Percent,0.395
State,Kentucky,2018-2022,Percent,0.391
County,Adair,2010-2014,Percent,0.25
County,Adair,2011-2015,Percent,S
County,Adair,2012-2016,Percent,S
County,Adair,2013-2017,Percent,S
County,Adair,2014-2018,Percent,S
County,Adair,2015-2019,Percent,S
County,Adair,2016-2020,Percent,0.353
County,Adair,2017-2021,Percent,0.403
County,Adair,2018-2022,Percent,0.349
County,Allen,2010-2014,Percent,0.336
County,Allen,2011-2015,Percent,S
County,Allen,2012-2016,Percent,0.344
County,Allen,2013-2017,Percent,0.333
County,Allen,2014-2018,Percent,0.396
County,Allen,2015-2019,Percent,0.293
County,Allen,2016-2020,Percent,0.487
County,Allen,2017-2021,Percent,0.357
County,Allen,2018-2022,Percent,S
County,Anderson,2010-2014,Percent,0.477
County,Anderson,2011-2015,Percent,0.43
County,Anderson,2012-2016,Percent,0.481
County,Anderson,2013-2017,Percent,0.501
County,Anderson,2014-2018,Percent,0.606
County,Anderson,2015-2019,Percent,0.518
County,Anderson,2016-2020,Percent,0.594
County,Anderson,2017-2021,Percent,0.495
County,Anderson,2018-2022,Percent,0.493
County,Ballard,2010-2014,Percent,0.569
County,Ballard,2011-2015,Percent,0.484
County,Ballard,2012-2016,Percent,0.46
County,Ballard,2013-2017,Percent,0.395
County,Ballard,2014-2018,Percent,0.4
County,Ballard,2015-2019,Percent,S
County,Ballard,2016-2020,Percent,0.545
County,Ballard,2017-2021,Percent,S
County,Ballard,2018-2022,Percent,S
County,Barren,2010-2014,Percent,0.482
County,Barren,2011-2015,Percent,0.422
County,Barren,2012-2016,Percent,0.358
County,Barren,2013-2017,Percent,0.414
County,Barren,2014-2018,Percent,0.401
County,Barren,2015-2019,Percent,0.349
County,Barren,2016-2020,Percent,0.346
County,Barren,2017-2021,Percent,0.339
County,Barren,2018-2022,Percent,0.331
County,Bath,2010-2014,Percent,S
County,Bath,2011-2015,Percent,0.485
County,Bath,2012-2016,Percent,S
County,Bath,2013-2017,Percent,0.363
County,Bath,2014-2018,Percent,S
County,Bath,2015-2019,Percent,0.38
County,Bath,2016-2020,Percent,S
County,Bath,2017-2021,Percent,S
County,Bath,2018-2022,Percent,S
County,Bell,2010-2014,Percent,0.322
County,Bell,2011-2015,Percent,0.378
County,Bell,2012-2016,Percent,0.487
County,Bell,2013-2017,Percent,0.535
County,Bell,2014-2018,Percent,0.446
County,Bell,2015-2019,Percent,0.491
County,Bell,2016-2020,Percent,0.431
County,Bell,2017-2021,Percent,S
County,Bell,2018-2022,Percent,0.269
County,Boone,2010-2014,Percent,0.53
County,Boone,2011-2015,Percent,0.533
County,Boone,2012-2016,Percent,0.501
County,Boone,2013-2017,Percent,0.495
County,Boone,2014-2018,Percent,0.445
County,Boone,2015-2019,Percent,0.454
