LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2001,Number,41779
State,Kentucky,2002,Number,46911
State,Kentucky,2003,Number,48049
State,Kentucky,2004,Number,75528
State,Kentucky,2005,Number,77825
State,Kentucky,2006,Number,80258
State,Kentucky,2007,Number,78779
State,Kentucky,2008,Number,79748
State,Kentucky,2009,Number,75559
State,Kentucky,2010,Number,74121
State,Kentucky,2011,Number,76748
State,Kentucky,2012,Number,75727
State,Kentucky,2013,Number,64242
State,Kentucky,2014,Number,45477
State,Kentucky,2015,Number,40793
State,Kentucky,2016,Number,41836
State,Kentucky,2017,Number,41946
State,Kentucky,2018,Number,46531
State,Kentucky,2019,Number,47827
State,Kentucky,2020,Number,41628
State,Kentucky,2021,Number,35512
State,Kentucky,2022,Number,34869
County,Adair,2001,Number,254
County,Adair,2002,Number,315
County,Adair,2003,Number,270
County,Adair,2004,Number,406
County,Adair,2005,Number,374
County,Adair,2006,Number,408
County,Adair,2007,Number,385
County,Adair,2008,Number,406
County,Adair,2009,Number,488
County,Adair,2010,Number,338
County,Adair,2011,Number,310
County,Adair,2012,Number,320
County,Adair,2013,Number,244
County,Adair,2014,Number,208
County,Adair,2015,Number,198
County,Adair,2016,Number,225
County,Adair,2017,Number,223
County,Adair,2018,Number,288
County,Adair,2019,Number,322
County,Adair,2020,Number,262
County,Adair,2021,Number,266
County,Adair,2022,Number,253
County,Allen,2001,Number,30
County,Allen,2002,Number,26
County,Allen,2003,Number,38
County,Allen,2004,Number,51
County,Allen,2005,Number,66
County,Allen,2006,Number,48
County,Allen,2007,Number,47
County,Allen,2008,Number,75
County,Allen,2009,Number,82
County,Allen,2010,Number,85
County,Allen,2011,Number,103
County,Allen,2012,Number,85
County,Allen,2013,Number,51
County,Allen,2014,Number,43
County,Allen,2015,Number,44
County,Allen,2016,Number,71
County,Allen,2017,Number,54
County,Allen,2018,Number,49
County,Allen,2019,Number,68
County,Allen,2020,Number,76
County,Allen,2021,Number,67
County,Allen,2022,Number,86
County,Anderson,2001,Number,132
County,Anderson,2002,Number,145
County,Anderson,2003,Number,139
County,Anderson,2004,Number,197
County,Anderson,2005,Number,200
County,Anderson,2006,Number,266
County,Anderson,2007,Number,269
County,Anderson,2008,Number,309
County,Anderson,2009,Number,348
County,Anderson,2010,Number,261
County,Anderson,2011,Number,176
County,Anderson,2012,Number,174
County,Anderson,2013,Number,119
County,Anderson,2014,Number,115
County,Anderson,2015,Number,93
County,Anderson,2016,Number,123
County,Anderson,2017,Number,112
County,Anderson,2018,Number,129
County,Anderson,2019,Number,187
County,Anderson,2020,Number,160
County,Anderson,2021,Number,135
County,Anderson,2022,Number,121
County,Ballard,2001,Number,50
County,Ballard,2002,Number,50
County,Ballard,2003,Number,47
County,Ballard,2004,Number,76
County,Ballard,2005,Number,57
County,Ballard,2006,Number,97
County,Ballard,2007,Number,94
County,Ballard,2008,Number,75
County,Ballard,2009,Number,68
County,Ballard,2010,Number,65
County,Ballard,2011,Number,58
County,Ballard,2012,Number,44
County,Ballard,2013,Number,38
County,Ballard,2014,Number,31
County,Ballard,2015,Number,21
County,Ballard,2016,Number,20
County,Ballard,2017,Number,24
County,Ballard,2018,Number,36
County,Ballard,2019,Number,44
County,Ballard,2020,Number,46
County,Ballard,2021,Number,49
County,Ballard,2022,Number,44
County,Barren,2001,Number,292
County,Barren,2002,Number,214
County,Barren,2003,Number,178
County,Barren,2004,Number,269
County,Barren,2005,Number,283
County,Barren,2006,Number,253
County,Barren,2007,Number,264
County,Barren,2008,Number,284
