LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2013,Rate,86.1
State,Kentucky,2014,Rate,87.5
State,Kentucky,2015,Rate,88
State,Kentucky,2016,Rate,88.6
State,Kentucky,2017,Rate,89.8
State,Kentucky,2018,Rate,90.3
State,Kentucky,2019,Rate,90.6
State,Kentucky,2020,Rate,90.9
State,Kentucky,2021,Rate,90
State,Kentucky,2022,Rate,89.9
State,Kentucky,2023,Rate,91.4
State,Kentucky,2024,Rate,92.2
School District,Adair Co.,2013,Rate,89.8
School District,Adair Co.,2014,Rate,94.3
School District,Adair Co.,2015,Rate,99.4
School District,Adair Co.,2016,Rate,98.5
School District,Adair Co.,2017,Rate,97.3
School District,Adair Co.,2018,Rate,98
School District,Adair Co.,2019,Rate,96
School District,Adair Co.,2020,Rate,99.5
School District,Adair Co.,2021,Rate,95.2
School District,Adair Co.,2022,Rate,94.2
School District,Adair Co.,2023,Rate,97
School District,Adair Co.,2024,Rate,94.9
School District,Allen Co.,2013,Rate,91
School District,Allen Co.,2014,Rate,82.9
School District,Allen Co.,2015,Rate,88.3
School District,Allen Co.,2016,Rate,90.4
School District,Allen Co.,2017,Rate,91.6
School District,Allen Co.,2018,Rate,92.3
School District,Allen Co.,2019,Rate,96.2
School District,Allen Co.,2020,Rate,93.5
School District,Allen Co.,2021,Rate,93.3
School District,Allen Co.,2022,Rate,92.8
School District,Allen Co.,2023,Rate,93.4
School District,Allen Co.,2024,Rate,94
School District,Anchorage Ind.,2013,Rate,*
School District,Anchorage Ind.,2014,Rate,*
School District,Anchorage Ind.,2015,Rate,*
School District,Anchorage Ind.,2016,Rate,*
School District,Anchorage Ind.,2017,Rate,*
School District,Anchorage Ind.,2018,Rate,*
School District,Anchorage Ind.,2019,Rate,*
School District,Anchorage Ind.,2020,Rate,*
School District,Anchorage Ind.,2021,Rate,*
School District,Anchorage Ind.,2022,Rate,*
School District,Anchorage Ind.,2023,Rate,*
School District,Anchorage Ind.,2024,Rate,*
